miles_over,miles_not_over,weight_group_min_lb,rate_per_100lb,break_point_lb
0,10,0,114.49,607
0,10,1000,69.44,1489
0,10,2000,51.69,4939
0,10,5000,51.05,7696
0,10,8000,49.11,11639
0,10,12000,47.63,15789
0,10,16000,47.00,
10,20,0,116.33,606
10,20,1000,70.44,1486
10,20,2000,52.31,4925
10,20,5000,51.52,7715
10,20,8000,49.68,11720
10,20,12000,48.52,15707
10,20,16000,47.63,
20,30,0,118.44,601
20,30,1000,71.18,1497
20,30,2000,53.26,4872
20,30,5000,51.89,7806
20,30,8000,50.63,11652
20,30,12000,49.16,15792
20,30,16000,48.52,
30,40,0,120.54,600
30,40,1000,72.29,1501
30,40,2000,54.22,4879
30,40,5000,52.90,7769
30,40,8000,51.37,11669
30,40,12000,49.95,15731
30,40,16000,49.11,
40,50,0,122.45,602
40,50,1000,73.60,1488
40,50,2000,54.74,4871
40,50,5000,53.32,7763
40,50,8000,51.74,11891
40,50,12000,51.27,15589
40,50,16000,49.95,
50,60,0,124.81,603
50,60,1000,75.18,1489
50,60,2000,55.95,4874
50,60,5000,54.53,7761
50,60,8000,52.90,11810
50,60,12000,52.06,15721
50,60,16000,51.15,
60,70,0,126.71,605
60,70,1000,76.61,1508
60,70,2000,57.74,4832
60,70,5000,55.79,7707
60,70,8000,53.74,11907
60,70,12000,53.32,15586
60,70,16000,51.94,
70,80,0,128.92,607
70,80,1000,78.19,1505
70,80,2000,58.80,4835
70,80,5000,56.85,7697
70,80,8000,54.69,11897
70,80,12000,54.22,15640
70,80,16000,53.00,
80,90,0,130.81,606
80,90,1000,79.19,1515
80,90,2000,59.95,4851
80,90,5000,58.16,7725
80,90,8000,56.16,11718
80,90,12000,54.84,15770
80,90,16000,54.05,
90,100,0,132.87,607
90,100,1000,80.55,1519
90,100,2000,61.17,4815
90,100,5000,58.90,7799
90,100,8000,57.42,11693
90,100,12000,55.95,15654
90,100,16000,54.74,
100,120,0,139.56,593
100,120,1000,82.66,1513
100,120,2000,62.53,4794
100,120,5000,59.95,7875
100,120,8000,59.01,11636
100,120,12000,57.22,15718
100,120,16000,56.21,
120,140,0,145.41,584
120,140,1000,84.87,1518
120,140,2000,64.38,4775
120,140,5000,61.48,7830
120,140,8000,60.17,11644
120,140,12000,58.38,15770
120,140,16000,57.54,
140,160,0,150.62,574
140,160,1000,86.40,1521
140,160,2000,65.70,4784
140,160,5000,62.85,7840
140,160,8000,61.59,11580
140,160,12000,59.43,15731
140,160,16000,58.43,
160,180,0,156.16,568
160,180,1000,88.61,1518
160,180,2000,67.23,4781
160,180,5000,64.28,7764
160,180,8000,62.38,11685
160,180,12000,60.74,15682
160,180,16000,59.53,
180,200,0,161.48,560
180,200,1000,90.35,1521
180,200,2000,68.70,4755
180,200,5000,65.33,7820
180,200,8000,63.86,11583
180,200,12000,61.64,15811
180,200,16000,60.91,
200,225,0,166.96,558
200,225,1000,93.04,1515
200,225,2000,70.44,4750
200,225,5000,66.91,7806
200,225,8000,65.28,11554
200,225,12000,62.85,15692
200,225,16000,61.64,
225,250,0,172.49,552
225,250,1000,95.10,1507
225,250,2000,71.65,4772
225,250,5000,68.38,7829
225,250,8000,66.91,11566
225,250,12000,64.49,15594
225,250,16000,62.85,
250,275,0,175.28,556
250,275,1000,97.41,1509
250,275,2000,73.49,4764
250,275,5000,70.02,7827
250,275,8000,68.50,11510
250,275,12000,65.70,15679
250,275,16000,64.38,
275,300,0,177.71,559
275,300,1000,99.32,1512
275,300,2000,75.07,4773
275,300,5000,71.65,7836
275,300,8000,70.18,11496
275,300,12000,67.23,15636
275,300,16000,65.70,
300,325,0,179.97,562
300,325,1000,101.10,1516
300,325,2000,76.61,4797
300,325,5000,73.49,7795
300,325,8000,71.60,11514
300,325,12000,68.70,15840
300,325,16000,68.01,
325,350,0,182.13,576
325,350,1000,104.74,1510
325,350,2000,79.03,4783
325,350,5000,75.60,7789
325,350,8000,73.60,11606
325,350,12000,71.18,15740
325,350,16000,70.02,
350,375,0,186.45,575
350,375,1000,107.16,1512
350,375,2000,80.98,4802
350,375,5000,77.77,7777
350,375,8000,75.60,11650
350,375,12000,73.39,15610
350,375,16000,71.60,
375,400,0,188.35,577
375,400,1000,108.64,1523
375,400,2000,82.71,4768
375,400,5000,78.87,7819
375,400,8000,77.08,11649
375,400,12000,74.82,15594
375,400,16000,72.92,
400,425,0,189.82,581
400,425,1000,110.11,1528
400,425,2000,84.09,4787
400,425,5000,80.50,7781
400,425,8000,78.29,11645
400,425,12000,75.97,15634
400,425,16000,74.23,
