time_class,crew,territory,rate_cents_per_hour,source
straight,one_person_driver,A,14599,Item 320 (2026)
straight,one_person_driver,B,13936,Item 320 (2026)
straight,two_person_driver_helper,A,23439,Item 320 (2026)
straight,two_person_driver_helper,B,21548,Item 320 (2026)
straight,additional_person_each,A,8409,Item 320 (2026)
straight,additional_person_each,B,7271,Item 320 (2026)
time_and_half,one_person_driver,A,18693,Item 320 (2026)
time_and_half,one_person_driver,B,17797,Item 320 (2026)
time_and_half,two_person_driver_helper,A,31626,Item 320 (2026)
time_and_half,two_person_driver_helper,B,28682,Item 320 (2026)
time_and_half,additional_person_each,A,12265,Item 320 (2026)
time_and_half,additional_person_each,B,10527,Item 320 (2026)
double,one_person_driver,A,23439,Item 320 (2026)
double,one_person_driver,B,21654,Item 320 (2026)
double,two_person_driver_helper,A,39840,Item 320 (2026)
double,two_person_driver_helper,B,35810,Item 320 (2026)
double,additional_person_each,A,16138,Item 320 (2026)
double,additional_person_each,B,13835,Item 320 (2026)
