miles_over,miles_not_over,qty_rate,qty_bp,m1000_rate,m1000_bp,m2000_rate,m2000_bp,m5000_rate,m5000_bp,m8000_rate,m8000_bp,m12000_rate,m12000_bp,m16000_rate
0,10,114.49,607,69.44,1489,51.69,4939,51.05,7696,49.11,11639,47.63,15789,47.00
10,20,116.33,606,70.44,1486,52.31,4925,51.52,7715,49.68,11720,48.52,15707,47.63
20,30,118.44,601,71.18,1497,53.26,4872,51.89,7806,50.63,11652,49.16,15792,48.52
30,40,120.54,600,72.29,1501,54.22,4879,52.90,7769,51.37,11669,49.95,15731,49.11
40,50,122.45,602,73.60,1488,54.74,4871,53.32,7763,51.74,11891,51.27,15589,49.95
50,60,124.81,603,75.18,1489,55.95,4874,54.53,7761,52.90,11810,52.06,15721,51.15
60,70,126.71,605,76.61,1508,57.74,4832,55.79,7707,53.74,11907,53.32,15586,51.94
70,80,128.92,607,78.19,1505,58.80,4835,56.85,7697,54.69,11897,54.22,15640,53.00
80,90,130.81,606,79.19,1515,59.95,4851,58.16,7725,56.16,11718,54.84,15770,54.05
90,100,132.87,607,80.55,1519,61.17,4815,58.90,7799,57.42,11693,55.95,15654,54.74
100,120,139.56,593,82.66,1513,62.53,4794,59.95,7875,59.01,11636,57.22,15718,56.21
120,140,145.41,584,84.87,1518,64.38,4775,61.48,7830,60.17,11644,58.38,15770,57.54
140,160,150.62,574,86.40,1521,65.70,4784,62.85,7840,61.59,11580,59.43,15731,58.43
160,180,156.16,568,88.61,1518,67.23,4781,64.28,7764,62.38,11685,60.74,15682,59.53
180,200,161.48,560,90.35,1521,68.70,4755,65.33,7820,63.86,11583,61.64,15811,60.91
200,225,166.96,558,93.04,1515,70.44,4750,66.91,7806,65.28,11554,62.85,15692,61.64
225,250,172.49,552,95.10,1507,71.65,4772,68.38,7829,66.91,11566,64.49,15594,62.85
250,275,175.28,556,97.41,1509,73.49,4764,70.02,7827,68.50,11510,65.70,15679,64.38
275,300,177.71,559,99.32,1512,75.07,4773,71.65,7836,70.18,11496,67.23,15636,65.70
300,325,179.97,562,101.10,1516,76.61,4797,73.49,7795,71.60,11514,68.70,15840,68.01
325,350,182.13,576,104.74,1510,79.03,4783,75.60,7789,73.60,11606,71.18,15740,70.02
350,375,186.45,575,107.16,1512,80.98,4802,77.77,7777,75.60,11650,73.39,15610,71.60
375,400,188.35,577,108.64,1523,82.71,4768,78.87,7819,77.08,11649,74.82,15594,72.92
400,425,189.82,581,110.11,1528,84.09,4787,80.50,7781,78.29,11645,75.97,15634,74.23
425,450,191.51,581,111.12,1540,85.56,4782,81.82,7811,79.88,11557,76.93,15691,75.44
450,475,192.77,582,112.17,1540,86.35,4811,83.08,7798,80.98,11626,78.45,15646,76.71
475,500,194.04,583,113.01,1549,87.51,4832,84.56,7786,82.29,11586,79.45,15672,77.82
500,550,195.83,585,114.49,1565,89.57,4836,86.62,7757,83.98,11625,81.35,15711,79.88
550,600,197.20,589,116.12,1577,91.56,4857,88.93,7711,85.71,11632,83.08,15646,81.24
600,650,199.04,593,117.96,1577,92.99,4859,90.35,7754,87.57,11588,84.56,15720,83.08
650,700,200.00,599,119.60,1578,94.36,4875,91.99,7694,88.46,11644,85.83,15656,83.98
700,750,201.57,607,122.18,1567,95.68,4888,93.52,7671,89.67,11592,86.62,15727,85.14
750,800,203.05,609,123.49,1594,98.42,4858,95.62,7609,90.94,11618,88.04,15577,85.71
800,850,205.31,613,125.70,1600,100.53,4861,97.73,7591,92.73,11605,89.67,15569,87.25
